experimentID; Дата; температура платы, °С; позиция ЗИ (датч.), ед. ПНВ; позиция ОИ (датч.), ед. ПНВ; позиция ЗИ №2 (датч.), ед. ПНВ; уровень (датч.), мм; позиция ЗИ (комп.), ед. ПНВ; позиция ОИ (комп.), ед. ПНВ; позиция ЗИ №2 (комп.), ед. ПНВ; уровень (комп.), мм; 
7; 17.07.13 16:23:49; 24.7; 221.527; 304.752; 3526.562; 1803.43; 221.527; 304.7523; 3526.562; 1803.43; 
7; 17.07.13 16:23:55; 24.7; 221.17; 304.461; 3526.223; 1804.916; 221.1701; 304.4613; 3526.223; 1804.917; 
7; 17.07.13 16:24:02; 24.7; 221.091; 304.383; 3526.116; 1804.968; 221.091; 304.3838; 3526.116; 1804.968; 
7; 17.07.13 16:24:08; 24.8; 221.058; 304.356; 3526.08; 1805.073; 221.0587; 304.356; 3526.081; 1805.071; 
7; 17.07.13 16:24:15; 24.9; 221.026; 304.348; 3526.051; 1805.625; 221.0263; 304.3481; 3526.052; 1805.624; 
7; 17.07.13 16:24:21; 24.9; 221.03; 304.34; 3526.04; 1805.37; 221.0301; 304.3403; 3526.041; 1805.369; 
7; 17.07.13 16:24:27; 25; 221.162; 304.493; 3526.218; 1805.819; 221.1622; 304.4933; 3526.218; 1805.819; 
7; 17.07.13 16:24:34; 25.1; 221.185; 304.519; 3526.25; 1805.874; 221.1854; 304.5191; 3526.25; 1805.874; 
7; 17.07.13 16:24:40; 25.2; 221.249; 304.539; 3526.302; 1804.885; 221.2496; 304.5395; 3526.302; 1804.886; 
7; 17.07.13 16:24:47; 25.3; 221.265; 304.554; 3526.309; 1804.87; 221.265; 304.5541; 3526.31; 1804.873; 
7; 17.07.13 16:24:53; 25.4; 221.193; 304.535; 3526.237; 1806.077; 221.1937; 304.5359; 3526.237; 1806.076; 
7; 17.07.13 16:25:00; 25.4; 221.199; 304.522; 3526.244; 1805.642; 221.1998; 304.5228; 3526.244; 1805.642; 
7; 17.07.13 16:25:08; 25.6; 221.19; 304.511; 3526.24; 1805.589; 221.1904; 304.5112; 3526.24; 1805.59; 
7; 17.07.13 16:25:15; 25.6; 221.196; 304.497; 3526.247; 1805.141; 221.1964; 304.4976; 3526.248; 1805.144; 
7; 17.07.13 16:25:21; 25.8; 221.196; 304.509; 3526.223; 1805.431; 221.1967; 304.51; 3526.223; 1805.432; 
7; 17.07.13 16:25:28; 25.9; 221.202; 304.497; 3526.27; 1805; 221.2025; 304.4979; 3526.27; 1805.002; 
7; 17.07.13 16:25:34; 25.9; 221.2; 304.516; 3526.258; 1805.467; 221.2009; 304.5166; 3526.259; 1805.469; 
7; 17.07.13 16:25:40; 26; 221.185; 304.527; 3526.225; 1806.068; 221.1858; 304.5275; 3526.226; 1806.069; 
7; 17.07.13 16:25:47; 26.1; 221.04; 304.347; 3526.068; 1805.284; 221.0403; 304.3472; 3526.069; 1805.286; 
7; 17.07.13 16:25:53; 26.1; 221.022; 304.325; 3526.048; 1805.203; 221.0227; 304.3259; 3526.048; 1805.205; 
7; 17.07.13 16:26:00; 26.2; 221.137; 304.449; 3526.172; 1805.396; 221.1376; 304.4496; 3526.172; 1805.398; 
7; 17.07.13 16:26:06; 26.3; 221.151; 304.487; 3526.193; 1805.943; 221.1512; 304.4875; 3526.194; 1805.944; 
7; 17.07.13 16:26:15; 26.4; 220.992; 304.328; 3526.03; 1805.93; 220.9924; 304.328; 3526.03; 1805.932; 
7; 17.07.13 16:26:21; 26.4; 220.98; 304.289; 3526.009; 1805.325; 220.9805; 304.2891; 3526.01; 1805.326; 
7; 17.07.13 16:26:28; 26.5; 221.007; 304.314; 3526.03; 1805.291; 221.0071; 304.314; 3526.03; 1805.29; 
7; 17.07.13 16:26:34; 26.6; 221.151; 304.465; 3526.2; 1805.425; 221.1519; 304.4655; 3526.2; 1805.426; 
7; 17.07.13 16:26:41; 26.7; 221.134; 304.445; 3526.193; 1805.378; 221.1342; 304.4459; 3526.194; 1805.378; 
7; 17.07.13 16:26:47; 26.8; 220.978; 304.299; 3526.022; 1805.596; 220.9784; 304.2993; 3526.023; 1805.595; 
7; 17.07.13 16:26:53; 26.8; 220.946; 304.293; 3525.967; 1806.205; 220.9465; 304.2938; 3525.967; 1806.205; 
7; 17.07.13 16:27:00; 26.9; 220.926; 304.271; 3525.947; 1806.155; 220.9266; 304.2717; 3525.947; 1806.155; 
7; 17.07.13 16:27:06; 26.9; 220.936; 304.267; 3525.976; 1805.821; 220.9365; 304.2673; 3525.976; 1805.821; 
